uniqueid,기준분기,상권구분,상권지역,서비스업종,분기매출,분기당매출건수,주중매출금액,주말매출금액
YH42,4분기,전통시장,백학시장,시계및귀금속,2046385,10,2046385,0
YH43,4분기,전통시장,노룬산시장(노룬산골목시장),시계및귀금속,32877277,159,29988627,2888650
YH44,4분기,발달상권,충정로역,시계및귀금속,6978610,48,6978610,0
YH45,4분기,골목상권,신월1동주민센터,가구,11896601,40,4598686,7297915
YH46,4분기,발달상권,을지로4가역,시계및귀금속,7736341,88,7300491,435850
YH47,4분기,발달상권,종로4가,가전제품,53340326,95,53221611,118715
YH48,4분기,발달상권,성수역,시계및귀금속,5164586,7,0,5164586
YH49,4분기,전통시장,고척근린시장,시계및귀금속,9582017,37,9582017,0
YH50,4분기,발달상권,종각역,시계및귀금속,2302641872,10953,1808959360,493682512
YH51,4분기,발달상권,서울역,시계및귀금속,83269417,7351,75454255,7815162
YH52,4분기,골목상권,홍릉시장,시계및귀금속,217447,9,217447,0
YH53,4분기,발달상권,고덕역,가구,10626981,50,10626981,0
YH54,4분기,발달상권,한티역,시계및귀금속,6969571,8,6969571,0
YH55,4분기,전통시장,남부종합시장,시계및귀금속,7000000,5,7000000,0
YH56,4분기,발달상권,구의사거리,가구,84998697,366,71106437,13892260
YH57,4분기,골목상권,중암중학교,가전제품,298643,36,210807,87836
YH58,4분기,발달상권,상수역(홍대),가구,219254203,232,117157259,102096944
YH59,4분기,발달상권,화곡역,가전제품,76546526,1529,65201429,11345097
YH60,4분기,골목상권,노원초등학교,가전제품,16162513,14,7136694,9025819
YH61,4분기,발달상권,신논현역,가구,213574324,514,77195539,136378785
YH62,4분기,발달상권,신도림역,가구,3090744269,3077,1395079473,1695664796
YH63,4분기,발달상권,왕십리역(왕십리),시계및귀금속,372668053,4805,213468112,159199941
YH64,4분기,발달상권,뱅뱅사거리,시계및귀금속,8795940,118,8714336,81604
YH65,4분기,발달상권,암사역,시계및귀금속,1827644,108,1671975,155669
YH66,4분기,발달상권,학동역,시계및귀금속,15000000,97,11564199,3435801
YH67,4분기,발달상권,등촌역,시계및귀금속,12555607,50,12555607,0
YH68,4분기,발달상권,장안동사거리,가구,6898488,70,5369442,1529046
YH69,4분기,전통시장,로데오거리상점가,시계및귀금속,336432341,1252,220872455,115559886
YH70,4분기,발달상권,문래역(문래로데오거리),시계및귀금속,641041365,3460,567636114,73405251
YH71,4분기,전통시장,"동원전통종합시장(동원시장, 동원전통시장 상점가)",시계및귀금속,83155132,236,69423485,13731647
YH72,4분기,발달상권,화곡역,시계및귀금속,37615448,106,28777507,8837941
YH73,4분기,전통시장,대조시장,시계및귀금속,17773137,38,773137,17000000
YH74,4분기,발달상권,신사역,가구,894000000,10568,549433088,344566912
YH75,4분기,발달상권,문정역,가구,1738217932,480,1738217932,0
YH76,4분기,발달상권,포스코사거리,가전제품,3891000000,108432,3680709841,210290159
YH77,4분기,발달상권,서울세관,가구,95958240,19,0,95958240
YH78,4분기,발달상권,장지역(가든파이브),시계및귀금속,211415030,2944,36663112,174751918
